name	translation
三代眞子	三代眞子
87(D)-56-86	87(D)-56-86
46078	46078
明羽杏子	明羽杏子
90(F)-57-82	90(F)-57-82
46225	46225
北大路ゆき	北大路ゆき
80(C)-55-81	80(C)-55-81
46113	46113
花園めい	花園めい
78(C)-54-76	78(C)-54-76
46286	46286
天季ひより	天季ひより
90(F)-57-88	90(F)-57-88
46036	46036
結城ゆたか	結城ゆたか
84(C)-56-85	84(C)-56-85
46294	46294
78(B)-54-79	78(B)-54-79
46237	46237
安玖深音	安玖深音
86(D)-59-87	86(D)-59-87
46110	46110
46189	46189
遥そら	遥そら
82(C)-55-83	82(C)-55-83
46180	46180
観村咲子	観村咲子
46299	46299
鷹月さくら	鷹月さくら
85(D)-57-84	85(D)-57-84
46081	46081
89(E)-59-86	89(E)-59-86
46322	46322
79(C)-54-80	79(C)-54-80
46095	46095
麦畑穂香	麦畑穂香
73(A)-52-76	73(A)-52-76
46250	46250
海老原柚葉	海老原柚葉
83(C)-55-83	83(C)-55-83
46053	46053
美空なつひ	美空なつひ
63(AA)-49-67	63(AA)-49-67
46131	46131
三咲里奈	三咲里奈
58(AAA)-49-60	58(AAA)-49-60
46258	46258
愛梨	愛梨
体力増加の祝福	生命强化的祝福
<color=#005C5E>味方全体の最大HP40%増加。</color>	<color=#005C5E>我方全体最大HP提升40%。</color>
攻撃強化の祝福	攻击强化的祝福
<color=#005C5E>味方全体の攻撃40%増加。</color>	<color=#005C5E>我方全体攻击提升40%。</color>
防御強化の祝福	防御强化的祝福
<color=#005C5E>味方全体の防御40%増加。</color>	<color=#005C5E>我方全体防御提升40%。</color>
魔力強化の祝福	魔力强化的祝福
<color=#005C5E>味方全体の魔力40%増加。</color>	<color=#005C5E>我方全体魔力提升40%。</color>
俊敏強化の祝福	敏捷强化的祝福
<color=#005C5E>味方全体の敏捷40%増加。</color>	<color=#005C5E>我方全体敏捷提升40%。</color>
幸運強化の祝福	幸运强化的祝福
<color=#005C5E>味方全体の幸運40%増加。</color>	<color=#005C5E>我方全体幸运提升40%。</color>
会心強化の祝福	会心强化的祝福
<color=#005C5E>味方全体のクリティカル率40%増加。</color>	<color=#005C5E>我方全体暴击率提升40%。</color>
命中強化の祝福	命中强化的祝福
<color=#005C5E>味方全体の命中率40%増加。</color>	<color=#005C5E>我方全体命中率提升40%。</color>
回避強化の祝福	回避强化的祝福
<color=#005C5E>味方全体の回避率40%増加。</color>	<color=#005C5E>我方全体回避率提升40%。</color>
反撃強化の祝福	反击强化的祝福
<color=#005C5E>味方全体の反撃率40%増加。</color>	<color=#005C5E>我方全体反击率提升40%。</color>
連撃強化の祝福	连击强化的祝福
<color=#005C5E>味方全体の連撃率40%増加。</color>	<color=#005C5E>我方全体连击率提升40%。</color>
回復超越の祝福	回复超越的祝福
<color=#005C5E>味方全体の回復上限40000増加。</color>	<color=#005C5E>我方全体回复上限增加40000。</color>
再生広布の祝福	再生广布的祝福
<color=#005C5E>バトル開始時、味方全体に再生を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体再生状态。</color>
繚乱広布の祝福	缭乱广布的祝福
<color=#005C5E>バトル開始時、味方全体に繚乱を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体缭乱状态。</color>
加速広布の祝福	加速广布的祝福
<color=#005C5E>バトル開始時、味方全体に加速を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体加速状态。</color>
力溜広布の祝福	蓄力广布的祝福
<color=#005C5E>バトル開始時、味方全体に力溜めを付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体蓄力状态。</color>
集中広布の祝福	集中广布的祝福
<color=#005C5E>バトル開始時、味方全体に集中を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体集中状态。</color>
防膜広布の祝福	防壁广布的祝福
<color=#005C5E>バトル開始時、味方全体にバリアーを付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体护盾状态。</color>
秘膜広布の祝福	秘膜广布的祝福
<color=#005C5E>バトル開始時、味方全体にベールを付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体面纱状态。</color>
魔壁広布の祝福	魔壁广布的祝福
<color=#005C5E>バトル開始時、味方全体に魔壁を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体魔壁状态。</color>
祝福広布の祝福	祝福广布的祝福
<color=#005C5E>バトル開始時、味方全体に祝福を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体祝福状态。</color>
与撃増加の祝福	攻击提升的祝福
<color=#005C5E>味方が与えるダメージが<daeg_pow:1>%の確率で180%に増加。</color>	<color=#005C5E>我方造成的伤害有<daeg_pow:1>%的概率提升至180%。</color>
被撃減少の祝福	受击减少的祝福
<color=#005C5E>敵から受けるダメージが<daeg_pow:1>%の確率で60%に減少。</color>	<color=#005C5E>受到敌人的伤害有<daeg_pow:1>%的概率减少至60%。</color>
全体治癒の祝福	全体治愈的祝福
<color=#005C5E>ウェーブ開始時、味方全体のHP40000回復。</color>	<color=#005C5E>回合开始时，回复我方全体40000 HP。</color>
毒付与の祝福	毒赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に毒を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人中毒状态。</color>
出血付与の祝福	出血赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に出血を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人出血状态。</color>
刻印付与の祝福	刻印赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に刻印を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人刻印状态。</color>
火傷付与の祝福	灼伤赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に火傷を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人灼伤状态。</color>
感電付与の祝福	感电赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に感電を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人感电状态。</color>
氷結付与の祝福	冻结赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に氷結を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人冻结状态。</color>
与撃超越の祝福	攻击超越的祝福
<color=#005C5E>味方全体のダメージ上限50000増加。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color>
冥力増加の祝福	冥力增加的祝福
<color=#005C5E>バトル開始時のMP15増加。</color>	<color=#005C5E>战斗开始时MP增加15。</color>
冥力加速の祝福	冥力加速的祝福
<color=#005C5E>ターン開始時のMP回復量2増加。</color>	<color=#005C5E>回合开始时MP回复量增加2。</color>
抵抗強化の祝福	抵抗强化的祝福
<color=#005C5E>味方全体の全ての状態異常抵抗率増加。</color>	<color=#005C5E>我方全体对所有异常状态的抵抗率提升。</color>
萌力加速の祝福	萌力加速的祝福
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color>
再動短縮の祝福	再动缩短的祝福
<color=#005C5E>ターン開始時のCT減少量1増加。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color>
萌技強化の祝福	萌技强化的祝福
<color=#005C5E>味方全体の萌技威力3000強化。</color>	<color=#005C5E>我方全体萌技威力强化3000。</color>
特技強化の祝福	特技强化的祝福
<color=#005C5E>味方全体の通常攻撃以外のスキルの威力3000強化。</color>	<color=#005C5E>我方全体普通攻击以外的技能威力强化3000。</color>
効果増幅の祝福	效果增幅的祝福
<color=#005C5E>味方全体のバフ効果50%増加。</color>	<color=#005C5E>我方全体的增益效果提升50%。</color>
補助強化の祝福	辅助强化的祝福
<color=#005C5E>味方全体の補助効果によるパラメータ増加量50%増加。</color>	<color=#005C5E>我方全体通过辅助效果获得的属性提升量增加50%。</color>
持続強化の祝福	持续强化的祝福
<color=#005C5E>味方全体の補助効果の持続ターン増加。</color>	<color=#005C5E>我方全体的辅助效果持续时间增加。</color>
継続回復の祝福	持续回复的祝福
<color=#005C5E>ターン開始時、最もHPが少ない味方のHP30000回復。</color>	<color=#005C5E>回合开始时，回复我方HP最低的成员30000 HP。</color>
起死回生の祝福	起死回生的祝福
<color=#005C5E>味方が戦闘不能になった際、HP全快で復活（一度のみ発動)。</color>	<color=#005C5E>我方成员战斗不能时，以满HP状态复活（仅可发动一次）。</color>
瞑想広布の祝福	冥想广布的祝福
<color=#005C5E>バトル開始時、味方全体に瞑想を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体冥想状态。</color>
飛行広布の祝福	飞行广布的祝福
<color=#005C5E>バトル開始時、味方全体に飛行を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体飞行状态。</color>
幻影広布の祝福	幻影广布的祝福
<color=#005C5E>バトル開始時、味方全体に幻影を付与。</color>	<color=#005C5E>战斗开始时，赋予我方全体幻影状态。</color>
気絶付与の祝福	眩晕赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体にスタンを付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人眩晕状态。</color>
睡眠付与の祝福	睡眠赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に睡眠を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人睡眠状态。</color>
忘却付与の祝福	忘却赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に忘却を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人遗忘状态。</color>
鈍重付与の祝福	迟钝赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に鈍重を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟钝状态。</color>
魅了付与の祝福	魅惑赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に魅了を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人魅惑状态。</color>
遅滞付与の祝福	迟滞赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に遅滞を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟滞状态。</color>
弱体付与の祝福	弱体赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に弱体を付与。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人弱体状态。</color>
快癒の祝福	快愈的祝福
<color=#005C5E>ウェーブ開始時、ランダムな味方4人の状態異常を1つ解除。</color>	<color=#005C5E>回合开始时，随机解除我方4人的1个异常状态。</color>
弱体解除の祝福	弱体解除的祝福
<color=#005C5E>ウェーブ開始時、ランダムな味方2人のデバフを全て解除。</color>	<color=#005C5E>回合开始时，随机解除我方2人的所有减益效果。</color>
支援攻撃の祝福	支援攻击的祝福
<color=#005C5E>ウェーブ開始時、敵全体に150000のダメージ与える。</color>	<color=#005C5E>回合开始时，对敌方全体造成150000伤害。</color>
超溜付与の祝福	超蓄力赋予的祝福
<color=#005C5E>ウェーブ開始時、最も攻撃力が高い味方一人と最も魔力が高い味方一人に超・力溜めを付与。</color>	<color=#005C5E>回合开始时，赋予我方攻击最高的1人及魔力最高的1人超·蓄力状态。</color>
繚乱付与の祝福	缭乱赋予的祝福
<color=#005C5E>ウェーブ開始時、ランダムな味方3人に百花繚乱を付与。</color>	<color=#005C5E>回合开始时，随机赋予我方3人百花缭乱状态。</color>
異常解除の祝福	异常解除的祝福
<color=#005C5E>ターン開始時、ランダムな味方2人の状態異常を1つ解除。</color>	<color=#005C5E>回合开始时，随机解除我方2人的1个异常状态。</color>
継続解除の祝福	持续解除的祝福
<color=#005C5E>ターン開始時、ランダムな味方単体のデバフを全て解除。</color>	<color=#005C5E>回合开始时，随机解除我方1人的所有减益效果。</color>
継続治癒の祝福	持续治愈的祝福
<color=#005C5E>ターン開始時、味方全体のHP20000回復。</color>	<color=#005C5E>回合开始时，回复我方全体20000 HP。</color>
攻撃強化/体力減少の穢詛	攻击强化/生命减少的秽咒
<color=#005C5E>味方全体の攻撃40%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体攻击提升40%。</color><color=#b00000>我方全体最大HP减少40%。</color>
魔力強化/体力減少の穢詛	魔力强化/生命减少的秽咒
<color=#005C5E>味方全体の魔力40%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体魔力提升40%。</color><color=#b00000>我方全体最大HP减少40%。</color>
会心強化/体力減少の穢詛	会心强化/生命减少的秽咒
<color=#005C5E>味方全体のクリティカル率40%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体暴击率提升40%。</color><color=#b00000>我方全体最大HP减少40%。</color>
命中強化/体力減少の穢詛	命中强化/生命减少的秽咒
<color=#005C5E>味方全体の命中率40%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体命中率提升40%。</color><color=#b00000>我方全体最大HP减少40%。</color>
反撃強化/体力減少の穢詛	反击强化/生命减少的秽咒
<color=#005C5E>味方全体の反撃率40%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体反击率提升40%。</color><color=#b00000>我方全体最大HP减少40%。</color>
連撃強化/体力減少の穢詛	连击强化/生命减少的秽咒
<color=#005C5E>味方全体の連撃率20%増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方全体连击率提升20%。</color><color=#b00000>我方全体最大HP减少40%。</color>
与撃増加/体力減少の穢詛	攻击提升/生命减少的秽咒
<color=#005C5E>味方が与えるダメージが<daeg_pow:1>%の確率で180%に増加。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>我方造成的伤害有<daeg_pow:1>%的概率提升至180%。</color><color=#b00000>我方全体最大HP减少40%。</color>
毒付与/体力減少の穢詛	毒赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に毒を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人中毒状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
出血付与/体力減少の穢詛	出血赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に出血を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人出血状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
刻印付与/体力減少の穢詛	刻印赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に刻印を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人刻印状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
火傷付与/体力減少の穢詛	灼伤赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に火傷を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人灼伤状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
感電付与/体力減少の穢詛	感电赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に感電を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人感电状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
氷結付与/体力減少の穢詛	冻结赋予/生命减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に氷結を付与。</color><color=#b00000>味方全体の最大HP40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人冻结状态。</color><color=#b00000>我方全体最大HP减少40%。</color>
体力増加/攻撃減少の穢詛	生命增加/攻击减少的秽咒
<color=#005C5E>味方全体の最大HP40%増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体最大HP提升40%。</color><color=#b00000>我方全体攻击减少40%。</color>
防御強化/攻撃減少の穢詛	防御强化/攻击减少的秽咒
<color=#005C5E>味方全体の防御40%増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体防御提升40%。</color><color=#b00000>我方全体攻击减少40%。</color>
俊敏強化/攻撃減少の穢詛	敏捷强化/攻击减少的秽咒
<color=#005C5E>味方全体の敏捷40%増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体敏捷提升40%。</color><color=#b00000>我方全体攻击减少40%。</color>
幸運強化/攻撃減少の穢詛	幸运强化/攻击减少的秽咒
<color=#005C5E>味方全体の幸運40%増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体幸运提升40%。</color><color=#b00000>我方全体攻击减少40%。</color>
回避強化/攻撃減少の穢詛	回避强化/攻击减少的秽咒
<color=#005C5E>味方全体の回避率40%増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体回避率提升40%。</color><color=#b00000>我方全体攻击减少40%。</color>
回復超越/攻撃減少の穢詛	回复超越/攻击减少的秽咒
<color=#005C5E>味方全体の回復上限40000増加。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>我方全体回复上限增加40000。</color><color=#b00000>我方全体攻击减少40%。</color>
全体治癒/攻撃減少の穢詛	全体治愈/攻击减少的秽咒
<color=#005C5E>ウェーブ開始時、味方全体のHP40000回復。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>回合开始时，回复我方全体40000 HP。</color><color=#b00000>我方全体攻击减少40%。</color>
被撃減少/攻撃減少の穢詛	受击减少/攻击减少的秽咒
<color=#005C5E>敵から受けるダメージが<daeg_pow:1>%の確率で60%に減少。</color><color=#b00000>味方全体の攻撃40%減少。</color>	<color=#005C5E>受到敌人的伤害有<daeg_pow:1>%的概率减少至60%。</color><color=#b00000>我方全体攻击减少40%。</color>
攻撃強化/防御減少の穢詛	攻击强化/防御减少的秽咒
<color=#005C5E>味方全体の攻撃40%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体攻击提升40%。</color><color=#b00000>我方全体防御减少40%。</color>
魔力強化/防御減少の穢詛	魔力强化/防御减少的秽咒
<color=#005C5E>味方全体の魔力40%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体魔力提升40%。</color><color=#b00000>我方全体防御减少40%。</color>
会心強化/防御減少の穢詛	会心强化/防御减少的秽咒
<color=#005C5E>味方全体のクリティカル率40%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体暴击率提升40%。</color><color=#b00000>我方全体防御减少40%。</color>
命中強化/防御減少の穢詛	命中强化/防御减少的秽咒
<color=#005C5E>味方全体の命中率40%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体命中率提升40%。</color><color=#b00000>我方全体防御减少40%。</color>
反撃強化/防御減少の穢詛	反击强化/防御减少的秽咒
<color=#005C5E>味方全体の反撃率40%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体反击率提升40%。</color><color=#b00000>我方全体防御减少40%。</color>
連撃強化/防御減少の穢詛	连击强化/防御减少的秽咒
<color=#005C5E>味方全体の連撃率20%増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方全体连击率提升20%。</color><color=#b00000>我方全体防御减少40%。</color>
与撃増加/防御減少の穢詛	攻击提升/防御减少的秽咒
<color=#005C5E>味方が与えるダメージが<daeg_pow:1>%の確率で180%に増加。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>我方造成的伤害有<daeg_pow:1>%的概率提升至180%。</color><color=#b00000>我方全体防御减少40%。</color>
毒付与/防御減少の穢詛	毒赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に毒を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人中毒状态。</color><color=#b00000>我方全体防御减少40%。</color>
出血付与/防御減少の穢詛	出血赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に出血を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人出血状态。</color><color=#b00000>我方全体防御减少40%。</color>
刻印付与/防御減少の穢詛	刻印赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に刻印を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人刻印状态。</color><color=#b00000>我方全体防御减少40%。</color>
火傷付与/防御減少の穢詛	灼伤赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に火傷を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人灼伤状态。</color><color=#b00000>我方全体防御减少40%。</color>
感電付与/防御減少の穢詛	感电赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に感電を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人感电状态。</color><color=#b00000>我方全体防御减少40%。</color>
氷結付与/防御減少の穢詛	冻结赋予/防御减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に氷結を付与。</color><color=#b00000>味方全体の防御40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人冻结状态。</color><color=#b00000>我方全体防御减少40%。</color>
体力増加/魔力減少の穢詛	生命增加/魔力减少的秽咒
<color=#005C5E>味方全体の最大HP40%増加。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>我方全体最大HP提升40%。</color><color=#b00000>我方全体魔力减少40%。</color>
防御強化/魔力減少の穢詛	防御强化/魔力减少的秽咒
<color=#005C5E>味方全体の防御40%増加。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>我方全体防御提升40%。</color><color=#b00000>我方全体魔力减少40%。</color>
俊敏強化/魔力減少の穢詛	敏捷强化/魔力减少的秽咒
<color=#005C5E>味方全体の敏捷40%増加。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>我方全体敏捷提升40%。</color><color=#b00000>我方全体魔力减少40%。</color>
幸運強化/魔力減少の穢詛	幸运强化/魔力减少的秽咒
<color=#005C5E>味方全体の幸運40%増加。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>我方全体幸运提升40%。</color><color=#b00000>我方全体魔力减少40%。</color>
回避強化/魔力減少の穢詛	回避强化/魔力减少的秽咒
<color=#005C5E>味方全体の回避率40%増加。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>我方全体回避率提升40%。</color><color=#b00000>我方全体魔力减少40%。</color>
全体治癒/魔力減少の穢詛	全体治愈/魔力减少的秽咒
<color=#005C5E>ウェーブ開始時、味方全体のHP40000回復。</color><color=#b00000>味方全体の魔力40%減少。</color>	<color=#005C5E>回合开始时，回复我方全体40000 HP。</color><color=#b00000>我方全体魔力减少40%。</color>
攻撃強化/俊敏減少の穢詛	攻击强化/敏捷减少的秽咒
<color=#005C5E>味方全体の攻撃40%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体攻击提升40%。</color><color=#b00000>我方全体敏捷减少40%。</color>
魔力強化/俊敏減少の穢詛	魔力强化/敏捷减少的秽咒
<color=#005C5E>味方全体の魔力40%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体魔力提升40%。</color><color=#b00000>我方全体敏捷减少40%。</color>
会心強化/俊敏減少の穢詛	会心强化/敏捷减少的秽咒
<color=#005C5E>味方全体のクリティカル率40%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体暴击率提升40%。</color><color=#b00000>我方全体敏捷减少40%。</color>
命中強化/俊敏減少の穢詛	命中强化/敏捷减少的秽咒
<color=#005C5E>味方全体の命中率40%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体命中率提升40%。</color><color=#b00000>我方全体敏捷减少40%。</color>
反撃強化/俊敏減少の穢詛	反击强化/敏捷减少的秽咒
<color=#005C5E>味方全体の反撃率40%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体反击率提升40%。</color><color=#b00000>我方全体敏捷减少40%。</color>
連撃強化/俊敏減少の穢詛	连击强化/敏捷减少的秽咒
<color=#005C5E>味方全体の連撃率20%増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方全体连击率提升20%。</color><color=#b00000>我方全体敏捷减少40%。</color>
与撃増加/俊敏減少の穢詛	攻击提升/敏捷减少的秽咒
<color=#005C5E>味方が与えるダメージが<daeg_pow:1>%の確率で180%に増加。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>我方造成的伤害有<daeg_pow:1>%的概率提升至180%。</color><color=#b00000>我方全体敏捷减少40%。</color>
毒付与/俊敏減少の穢詛	毒赋予/敏捷减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に毒を付与。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人中毒状态。</color><color=#b00000>我方全体敏捷减少40%。</color>
出血付与/俊敏減少の穢詛	出血赋予/敏捷减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に出血を付与。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人出血状态。</color><color=#b00000>我方全体敏捷减少40%。</color>
刻印付与/俊敏減少の穢詛	刻印赋予/敏捷减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に刻印を付与。</color><color=#b00000>味方全体の敏捷40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人刻印状态。</color><color=#b00000>我方全体敏捷减少40%。</color>
火傷付与/俊敏減少の穢詛	灼伤赋予/敏捷减少的秽咒
