source	target	note	status
ゼロノス(蛇使い)	泽洛诺斯(蛇使)	新字典	done
ゼロノス(20章6話）	泽洛诺斯(20章6话)	新字典	done
ゼロノス(蛇融合隊)1	泽洛诺斯(蛇融合队)1	新字典	done
ゼロノス(蛇融合隊)2	泽洛ノス(蛇融合队)2	新字典	done
ゼロノス(蛇融合隊)3	泽洛诺斯(蛇融合队)3	新字典	done
【奈落】ゼロノス	【奈落】泽洛诺斯	新字典	done
ハルカゼ	春风	新字典	done
ハルカゼ（洗脳）	春风（洗脑）	新字典	done
【奈落】ハルカゼ	【奈落】春风	新字典	done
謎の少女(アンジェリーク)	神秘少女(安洁莉可)	新字典	done
アンジェリーク(世界樹)	安洁莉可(世界树)	新字典	done
アンジェリーク(世界樹花無)	安洁莉可(世界树花无)	新字典	done
レーナ(23章)	蕾娜(23章)	新字典	done
復讐鬼レーナ	复仇鬼蕾娜	新字典	done
ヴェロニカ(24章)	维罗妮卡(24章)	新字典	done
ヴェロニカ(25章)	维罗妮卡(25章)	新字典	done
ヴェロニカ(26章)第1形態	维罗妮卡(26章)第1形态	新字典	done
ヴェロニカ(26章)第2形態	维罗妮卡(26章)第2形态	新字典	done
ヴェロニカ(26章)第3形態	维罗妮卡(26章)第3形态	新字典	done
ヴェロニカ(黒)	维罗妮卡(黑)	新字典	done
ロサリエ(28章)	萝莎莉叶(28章)	新字典	done
騎士A	骑士A	新字典	done
騎士B	骑士B	新字典	done
騎士C	骑士C	新字典	done
騎士（深淵）	骑士（深渊）	新字典	done
【奈落】騎士	【奈落】骑士	新字典	done
【狂惑】重騎士	【狂惑】重骑士	新字典	done
ならず者A	无赖A	新字典	done
ならず者B	无赖B	新字典	done
ならず者C	无赖C	新字典	done
【奈落】ならず者	【奈落】无赖	新字典	done
【狂惑】無法者	【狂惑】无法者	新字典	done
術士A	术士A	新字典	done
術士B	术士B	新字典	done
術士C	术士C	新字典	done
術士（深淵）	术士（深渊）	新字典	done
【奈落】術士	【奈落】术士	新字典	done
【狂惑】妖術師	【狂惑】妖术师	新字典	done
村人男性(操られ)	男性村民(被操纵)	新字典	done
一般男性	一般男性	新字典	done
従業員（ゴーレム）	雇员（魔像）	新字典	done
村人女性(操られ)	女性村民(被操纵)	新字典	done
村長（天使憑依）	村长（天使附身）	新字典	done
村人おばあさん(操られ)	村民老奶奶(被操纵)	新字典	done
ベロス	贝罗斯	新字典	done
近衛騎士A	近卫骑士A	新字典	done
近衛騎士B	近卫骑士B	新字典	done
近衛騎士C	近卫骑士C	新字典	done
【奈落】近衛騎士	【奈落】近卫骑士	新字典	done
【狂惑】執行者	【狂惑】执行者	新字典	done
聖樹騎士団長	圣树骑士团长	新字典	done
聖樹騎士団長（オーラ）16章8話	圣树骑士团长（气场）16章8话	新字典	done
聖樹騎士団長（オーラ）16章9話	圣树骑士团长（气场）16章9话	新字典	done
【奈落】聖樹騎士団長	【奈落】圣树骑士团长	新字典	done
キャプテンロジャー	罗杰船长	新字典	done
サムライ	武士	新字典	done
サムライ（洗脳）	武士（洗脑）	新字典	done
イルマ	伊尔玛	新字典	done
洗脳されたメイド	被洗脑的女仆	新字典	done
カティ	卡蒂	新字典	done
モブラビリナ	杂鱼兔人族	新字典	done
粘菌兵	粘菌兵	新字典	done
宝石スライム	宝石史莱姆	新字典	done
双葉スライム	双叶史莱姆	新字典	done
麦穂スライム	麦穗史莱姆	新字典	done
クリスマススライム	圣诞史莱姆	新字典	done
もちスライム	年糕史莱姆	新字典	done
砂スライム	沙史莱姆	新字典	done
七色スライム	七色史莱姆	新字典	done
スイートスライム	甜心史莱姆	新字典	done
ハロウィンスライム	万圣节史莱姆	新字典	done
ショコラスライム	巧克力史莱姆	新字典	done
ホコリスライム	灰尘史莱姆	新字典	done
トロピカルスライム	热带史莱姆	新字典	done
紅白スライム	红白史莱姆	新字典	done
鬼スライム	鬼史莱姆	新字典	done
雪スライム	雪史莱姆	新字典	done
墨スライム	墨史莱姆	新字典	done
ギャルスライム	辣妹史莱姆	新字典	done
【奈落】スライム	【奈落】史莱姆	新字典	done
【狂惑】宝石スライム	【狂惑】宝石史莱姆	新字典	done
水晶スライム	水晶史莱姆	新字典	done
黄金スライム	黄金史莱姆	新字典	done
キラキラスライム	闪闪发亮史莱姆	新字典	done
魔晶石	魔晶石	新字典	done
【狂惑】キラキラスライム	【狂惑】闪闪发亮史莱姆	新字典	done
スライムボス	史莱姆Boss	新字典	done
スライムキング	史莱姆王	新字典	done
スライムカイザー	史莱姆凯撒	新字典	done
ハッピーサンタ	快乐圣诞老人	新字典	done
あけおめスライム	新年快乐史莱姆	新字典	done
ボス魔晶石	Boss魔晶石	新字典	done
巨大ハロウィンスライム	巨大万圣节史莱姆	新字典	done
巨大ホコリスライム	巨大灰尘史莱姆	新字典	done
【奈落】スライムカイザー	【奈落】史莱姆凯撒	新字典	done
【狂惑】スライムカイザー	【狂惑】史莱姆凯撒	新字典	done
ブモータ	布莫塔	新字典	done
ブモッフ	布莫夫	新字典	done
ブモットン	布莫顿	新字典	done
復讐の獣	复仇之兽	新字典	done
巨大イノシシ	巨大野猪	新字典	done
巨大イノシッシ	巨大野猪	新字典	done
【奈落】イノシッシ	【奈落】野猪	新字典	done
【狂惑】復讐の獣	【狂惑】复仇之兽	新字典	done
フラーイ	浮莱伊	新字典	done
ギザール	吉扎尔	新字典	done
ワッハール	瓦哈尔	新字典	done
ラブリー	可爱	新字典	done
アクアスライム	水史莱姆	新字典	done
巨大タコ	巨大章鱼	新字典	done
クラゲ	水母	新字典	done
パリピクラゲ	派对水母	新字典	done
【奈落】ワッハール	【奈落】瓦哈尔	新字典	done
【奈落】クラゲ	【奈落】水母	新字典	done
【狂惑】ワッハール	【狂惑】瓦哈尔	新字典	done
【狂惑】クラゲ	【狂惑】水母	新字典	done
オパール	欧泊尔	新字典	done
オブシダン	黑曜石	新字典	done
ガーネット	石榴石	新字典	done
亡者	亡者	新字典	done
亡者の怨念	亡者的怨念	新字典	done
カルダもん	卡尔达蒙	新字典	done
パニッシャー	惩罚者	新字典	done
【奈落】ガーネット	【奈落】石榴石	新字典	done
【狂惑】ガーネット	【狂惑】石榴石	新字典	done
パウワー	帕乌瓦	新字典	done
ホエール	鲸鱼	新字典	done
パインヘッド	松果头	新字典	done
【奈落】パインヘッド	【奈落】松果头	新字典	done
【狂惑】パインヘッド	【狂惑】松果头	新字典	done
ブリックゴーレム	砖石魔像	新字典	done
ロックゴーレム	岩石魔像	新字典	done
アイアンゴーレム	铁魔像	新字典	done
氷ゴーレム	冰魔像	新字典	done
【奈落】プレデター	【奈落】捕食者	新字典	done
【狂惑】アイアンゴーレム	【狂惑】铁魔像	新字典	done
氷ゴーレム（ストーリー）	冰魔像（剧情）	新字典	done
ジャベリン	标枪	新字典	done
スティンガー	刺针	新字典	done
プレデター	捕食者	新字典	done
【奈落】ゴーレム	【奈落】魔像	新字典	done
【狂惑】プレデター	【狂惑】捕食者	新字典	done
ジェイドドラゴン	翡翠龙	新字典	done
コバルトドラゴン	钴蓝龙	新字典	done
ブラッドドラゴン	血龙	新字典	done
禁忌のドラコ・ホリビリス	禁忌的龙・恐虐	新字典	done
粘菌ドラゴン	粘菌龙	新字典	done
【奈落】ブラッドドラゴン	【奈落】血龙	新字典	done
【狂惑】ブラッドドラゴン	【狂惑】血龙	新字典	done
白狼	白狼	新字典	done
真・白狼	真・白狼	新字典	done
水の獣	水之兽	新字典	done
【奈落】望滅の凶獣	【奈落】望灭的凶兽	新字典	done
古竜	古龙	新字典	done
真・古竜	真・古龙	新字典	done
【新生】ガルガンチュア	【新生】伽刚特	新字典	done
【咆吼】ガルガンチュア	【咆吼】伽刚特	新字典	done
【奈落】ガルガンチュア	【奈落】伽刚特	新字典	done
巨大ゴーレム	巨大魔像	新字典	done
白亀	白龟	新字典	done
召喚獣・火	召唤兽・火	新字典	done
召喚獣・水	召唤兽・水	新字典	done
召喚獣・風	召唤兽・风	新字典	done
召喚獣・光	召唤兽・光	新字典	done
召喚獣・闇	召唤兽・暗	新字典	done
子キツネ	小狐狸	新字典	done
母キツネ	母狐狸	新字典	done
子キツネ（憑依）	小狐狸（附身）	新字典	done
母キツネ（憑依）	母狐狸（附身）	新字典	done
ウンタマ	云塔马	新字典	done
アマニタン	阿马尼坦	新字典	done
ベノスポアン	贝诺斯波安	新字典	done
ジャック・オー・ウンタマ	杰克南瓜灯・云塔马	新字典	done
【奈落】ベノスポアン	【奈落】贝诺斯波安	新字典	done
【狂惑】ベノスポアン	【狂惑】贝诺斯波安	新字典	done
オハナーム	奥哈纳姆	新字典	done
キャタルバ	卡塔尔巴	新字典	done
マゴマーゴ	马戈马戈	新字典	done
【奈落】マゴマーゴ	【奈落】马戈马戈	新字典	done
【狂惑】マゴマーゴ	【狂惑】马戈马戈	新字典	done
エレ・フォーコ	元素・佛尔科	新字典	done
エレ・クール	元素・库尔	新字典	done
エレ・ヴェント	元素・文托	新字典	done
エレ・リヒト	元素・利希特	新字典	done
エレ・ダーク	元素・达克	新字典	done
エレ・クピド	元素・丘比特	新字典	done
エレ・フリッダ	元素・弗利达	新字典	done
エレ・トゥオーノ	元素・图奥诺	新字典	done
【奈落】エレメント	【奈落】元素体	新字典	done
【狂惑】エレ・フォーコ	【狂惑】元素・佛尔科	新字典	done
【狂惑】エレ・クール	【狂惑】元素・库尔	新字典	done
【狂惑】エレ・ヴェント	【狂惑】元素・文托	新字典	done
【狂惑】エレ・リヒト	【狂惑】元素・利希特	新字典	done
【狂惑】 エレ・ダーク	【狂惑】元素・达克	新字典	done
アルマロス	阿尔马洛斯	新字典	done
バラキエル	巴拉基尔	新字典	done
ラメエル	拉梅尔	新字典	done
【奈落】ラメエル	【奈落】拉梅尔	新字典	done
【狂惑】ラメエル	【狂惑】拉梅尔	新字典	done
ヤシミカッター	八十御魂	新字典	done
キャノンボイル	加农沸腾	新字典	done
ベベンジュウガ	贝文重牙	新字典	done
【奈落】ベベンジュウガ	【奈落】贝文重牙	新字典	done
【狂惑】ベベンジュウガ	【狂惑】贝文重牙	新字典	done
ペトレル	佩特雷尔	新字典	done
ストリーカ	斯特里卡	新字典	done
カーディナル	红衣主教	新字典	done
【奈落】カーディナル	【奈落】红衣主教	新字典	done
【狂惑】カーディナル	【狂惑】红衣主教	新字典	done
ナメスジール	滑筋尔	新字典	done
ハフブラッダー	哈夫布拉德	新字典	done
ギュムノート	裸背电鳗	新字典	done
【奈落】ギュムノート	【奈落】裸背电鳗	新字典	done
【狂惑】ギュムノート	【狂惑】裸背电鳗	新字典	done
スマラグ	斯玛拉格	新字典	done
エリトロン	埃利特龙	新字典	done
アバルティス	阿巴尔蒂斯	新字典	done
【奈落】アバルティス	【奈落】阿巴尔蒂斯	新字典	done
【狂惑】アバルティス	【狂惑】阿巴尔蒂斯	新字典	done
荒ぶる精霊ユーノ	狂暴的精灵尤诺	新字典	done
邪精霊ユーノ	邪精灵尤诺	新字典	done
【奈落】邪精霊ユーノ	【奈落】邪精灵尤诺	新字典	done
【狂惑】邪精霊	【狂惑】邪精灵	新字典	done
子犬	小狗	新字典	done
野良犬	野狗	新字典	done
ユニコーン	独角兽	新字典	done
《深淵》ユニコーン	《深渊》独角兽	新字典	done
【奈落】ユニコーン	【奈落】独角兽	新字典	done
【狂惑】ユニコーン	【狂惑】独角兽	新字典	done
ダーリの篇	达利篇	新字典	done
リモワ写本	利摩瓦抄本	新字典	done
メタシクロ祭祀書	梅塔西克洛祭祀书	新字典	done
【奈落】メタシクロ祭祀書	【奈落】梅塔西克洛祭祀书	新字典	done
【狂惑】メタシクロ祭祀書	【狂惑】梅塔西克洛祭祀书	新字典	done
バク（子分）	貘（小弟）	新字典	done
バク（ボス）	貘（Boss）	新字典	done
【奈落】マグナ・タピルス	【奈落】Magna・Tapirus	新字典	done
大精霊	大精灵	新字典	done
【奈落】大精霊	【奈落】大精灵	新字典	done
【狂惑】大精霊	【狂惑】大精灵	新字典	done
湖の神獣ナマリ様	湖之神兽纳玛利大人	新字典	done
マカーバ	马卡巴	新字典	done
レムレース	雷姆雷斯	新字典	done
フラム・ラルヴァ	弗拉姆・拉尔瓦	新字典	done
【奈落】フラム・ラルヴァ	【奈落】弗拉姆・拉尔瓦	新字典	done
【狂惑】フラム・ラルヴァ	【狂惑】弗拉姆・拉尔瓦	新字典	done
ゴワモコ	戈瓦莫科	新字典	done
ワルムート	瓦尔穆特	新字典	done
フォーゴラシャ	佛戈拉夏	新字典	done
【奈落】ゴワモコ	【奈落】戈瓦莫科	新字典	done
【狂惑】ファーゴラシャ	【狂惑】佛戈拉夏	新字典	done
ウサりん	兔兔铃	新字典	done
ウサギ	兔子	新字典	done
花の精霊フラリィ	花之精灵芙拉莉	新字典	done
ヒトダマイエロー	鬼火黄	新字典	done
ヒトダマレッド	鬼火红	新字典	done
ヒトダマブルー	鬼火蓝	新字典	done
【狂惑】ヒトダマレッド	【狂惑】鬼火红	新字典	done
【狂惑】ヒトダマブルー	【狂惑】鬼火蓝	新字典	done
【狂惑】ヒトダマイエロー	【狂惑】鬼火黄	新字典	done
新型ライラプス	新型莱拉普斯	新字典	done
ライラプス	莱拉普斯	新字典	done
【奈落】ライラプス	【奈落】莱拉普斯	新字典	done
マジックドール	魔法人偶	新字典	done
エラローヴ	埃拉罗夫	新字典	done
【奈落】エラローヴ	【奈落】埃拉罗夫	新字典	done
【狂惑】エラローヴ	【狂惑】埃拉罗夫	新字典	done
ウニコール	尤尼科尔	新字典	done
【奈落】ウニコール	【奈落】尤尼科尔	新字典	done
【狂惑】ウニコール	【狂惑】尤尼科尔	新字典	done
ゴルミナ	格尔米娜	新字典	done
ゴルミナ	格尔米娜	新字典	done
ゴルミナ１号機	格尔米娜1号机	新字典	done
チョコアニマル	巧可动物	新字典	done
機械カカシ	机械稻草人	新字典	done
【狂惑】機械カカシ	【狂惑】机械稻草人	新字典	done
大蛇	大蛇	新字典	done
巨大クジラ	巨大鲸鱼	新字典	done
【狂惑】島クジラ	【狂惑】岛鲸	新字典	done
ハデス城	哈迪斯城	新字典	done
砂の城	沙之城	新字典	done
砂の城（対アイリス）	沙之城（对爱丽丝）	新字典	done
アゲアゲ・フェスホール	高昂・节庆厅	新字典	done
クルクル・モンスパイラル	转转・怪物螺旋	新字典	done
スプラッシュ・スター号	飞溅・明星号	新字典	done
ワイワイ・メニプリュイズ	欢闹・菜单请选	新字典	done
虫エネミー	虫敌人	新字典	done
ぬいぐるみ(ねこ)	布偶(猫)	新字典	done
ぬいぐるみ(うさぎ)	布偶(兔子)	新字典	done
ぬいぐるみ(くじら)	布偶(鲸鱼)	新字典	done
ぬいぐるみ(あらいぐま)	布偶(浣熊)	新字典	done
巨大ぬいぐるみ	巨大布偶	新字典	done
空飛ぶ巨大スライム	飞天巨大史莱姆	新字典	done
神龍	神龙	新字典	done
猫1	猫1	新字典	done
猫2	猫2	新字典	done
猫3	猫3	新字典	done
転移の書	转移之书	新字典	done
ホワイトアイル（追想）	白艾尔（追忆）	新字典	done
フンガモンガー（追想）	芬加蒙加（追忆）	新字典	done
ペンタゴア・シッシ（追想）	潘塔戈亚・西西（追忆）	新字典	done
ピュアスライムハート（追想）	纯真史莱姆之心（追忆）	新字典	done
白熱オーダマスライム（追想）	白热滚大球史莱姆（追忆）	新字典	done
千古の雷霆龍（追想）	千古的雷霆龙（追忆）	新字典	done
望滅の凶獣（追想）	望灭的凶兽（追忆）	新字典	done
魅惑のコタツスライム（追想）	魅惑的被炉史莱姆（追忆）	新字典	done
アル・マーリド（追想）	阿尔・马利德（追忆）	新字典	done
タブラ・ラーサ（追想）	白纸（追忆）	新字典	done
ボアドム・ドンムー（追想）	博阿德姆・东穆（追忆）	新字典	done
珍味佳肴のイモタロス（追想）	珍味佳肴的芋太郎（追忆）	新字典	done
ダハブ・マ・ジーン（追想）	达哈布・马・金（追忆）	新字典	done
兇猛のケモミミ様（追想）	凶猛的兽耳大人（追忆）	新字典	done
涼爽大玉のスイカロン	凉爽大玉的西瓜龙	新字典	done
ハデス城	哈迪斯城	新字典	done
ミングル・ヴィランズ（追想）	明格尔・恶棍们（追忆）	新字典	done
青春おじゃま三兄弟（追想）	青春打扰三兄弟（追忆）	新字典	done
夜闇スライム（追想）	夜暗史莱姆（追忆）	新字典	done
【狂惑】ピュアスライムハート	【狂惑】纯真史莱姆之心	新字典	done
【狂惑】フンガモンガー	【狂惑】芬加蒙加	新字典	done
【狂惑】ホワイトアイル	【狂惑】白艾尔	新字典	done
【狂惑】望滅の凶獣	【狂惑】望灭的凶兽	新字典	done
【狂惑】アル・マーリド	【狂惑】阿尔・马利德	新字典	done
【狂惑】ペンタゴア・シッシ	【狂惑】潘塔戈亚・西西	新字典	done
【狂惑】タブラ・ラーサ	【狂惑】白纸	新字典	done
【狂惑】ボアドム・ドンムー	【狂惑】博阿德姆・东穆	新字典	done
【狂惑】ダハブ・マジーン	【狂惑】达哈布・马金	新字典	done
【狂惑】兇猛のケモミミ様	【狂惑】凶猛的兽耳大人	新字典	done
【狂惑】ミングル・ヴィランズ	【狂惑】明格尔・恶棍们	新字典	done
【狂惑】夜闇スライム	【狂惑】夜暗史莱姆	新字典	done
ピュアスライムハート	纯真史莱姆之心	新字典	done
フンガモンガー	芬加蒙加	新字典	done
白熱オーダマスライム	白热滚大球史莱姆	新字典	done
望滅の凶獣	望灭的凶兽	新字典	done
ホワイトアイル	白艾尔	新字典	done
千古の雷霆龍	千古的雷霆龙	新字典	done
ガルガンチュア	伽刚特	新字典	done
魅惑のコタツスライム	魅惑的被炉史莱姆	新字典	done
アル・マーリド	阿尔・马利德	新字典	done
ペンタゴア・シッシ	潘塔戈亚・西西	新字典	done
タブラ・ラーサ	白纸	新字典	done
ボアドム・ドンムー	博阿德姆・东穆	新字典	done
珍味佳肴のイモタロス	珍味佳肴的芋太郎	新字典	done
ダハブ・マ・ジーン	达哈布・马・金	新字典	done
兇猛のケモミミ様	凶猛的兽耳大人	新字典	done
ミングル・ヴィランズ	明格尔・恶棍们	新字典	done
青春おじゃま三兄弟	青春打扰三兄弟	新字典	done
夜闇スライム	夜暗史莱姆	新字典	done
涼爽大玉のスイカロン	凉爽大玉的西瓜龙	新字典	done
ワール・チョコラータ	瓦鲁・巧可拉塔	新字典	done
潜空海獣メガロサッメ	潜空海兽梅加洛鲨	新字典	done
ガルガンチュア －祭－	伽刚特 －祭－	新字典	done
キングボムスライム	炸弹王史莱姆	新字典	done
波乗のギヌカラギヌモ	乘浪的基努卡拉基努莫	新字典	done
シャイニングスライム	闪耀史莱姆	新字典	done
メガロサッメＭｋーⅡ	梅加洛鲨 Mk-Ⅱ	新字典	done
巨大精霊グリューヴァイン	巨大精灵格琉瓦恩	新字典	done
メデタシ招福鏡モチ	可喜可贺招福镜饼	新字典	done
お試しスライムハート	试用史莱姆之心	新字典	done
聖獣洞窟の主	圣兽洞窟之主	新字典	done
聖獣洞窟の主2	圣兽洞窟之主2	新字典	done
白銀の疾風	白银的疾风	新字典	done
高潔なる煌めきの銀閃	高洁闪耀的银闪	新字典	done
聖夜に閃く白騎士	圣夜闪耀的白骑士	新字典	done
【奈落】白銀の疾風	【奈落】白银的疾风	新字典	done
聖樹教会の聖神官	圣树教会的圣神官	新字典	done
御使いの聖杖	神使之圣杖	新字典	done
愛を添えた聖なる甘味	附以爱意的神圣甘味	新字典	done
聖樹教会の聖神官（闇落ち）	圣树教会的圣神官（堕转）	新字典	done
【奈落】聖樹教会の聖神官	【奈落】圣树教会的圣神官	新字典	done
放浪の異端者	流浪的异端者	新字典	done
狂乱の大戦斧	狂乱的大战斧	新字典	done
【奈落】放浪の異端者	【奈落】流浪的异端者	新字典	done
賢才の魔術師	贤才的魔术师	新字典	done
真理を究めし大魔術	究明真理的大魔术	新字典	done
先鋭なる叡智の結実	精锐睿智的结晶	新字典	done
【奈落】賢才の魔術師	【奈落】贤才的魔术师	新字典	done
冥界の暗殺者	冥界的暗杀者	新字典	done
灼けた海辺の鬼教官	灼热海边的鬼教官	新字典	done
王に添う黒薔薇	陪伴王侧的黑色蔷薇	新字典	done
銃火を纏う修道女	身披枪火的修女	新字典	done
【奈落】冥界の暗殺者	【奈落】冥界的暗杀者	新字典	done
飴捧ぐ再会の衣	献糖重逢之衣	新字典	done
術策のサムライ	谋略的武士	新字典	done
微睡みの太刀	微睡之太刀	新字典	done
袖踊る幽冥の刃	袖舞幽冥之刃	新字典	done
【奈落】術策のサムライ	【奈落】谋略的武士	新字典	done
エルハイムの鋼壁	埃尔海姆的钢壁	新字典	done
変幻自在の魔盾	变幻自在的魔盾	新字典	done
不撓不屈の守護者	不屈不挠的守护者	新字典	done
春風を恵む復活祭	赐予春风的复活节	新字典	done
漆黒纏う麗しき貴人	身缠漆黑的美丽贵人	新字典	done
【奈落】エルハイムの鋼壁	【奈落】埃尔海姆的钢壁	新字典	done
抱擁の修道女	拥抱的修女	新字典	done
天衝く破砕の拳	冲天破碎之拳	新字典	done
【奈落】抱擁の修道女	【奈落】拥抱的修女	新字典	done
佳麗なる踊り子	佳丽的舞者	新字典	done
花揺らす泡沫の舞	摇动花影的泡沫之舞	新字典	done
【奈落】佳麗なる踊り子	【奈落】佳丽的舞者	新字典	done
孤高の錬金術師	孤高的炼金术师	新字典	done
万物を統べし叡智	统御万物的睿智	新字典	done
【奈落】孤高の錬金術師	【奈落】孤高的炼金术师	新字典	done
操られているポリン	被操纵的波琳	新字典	done
創造の魔術絵画師	创造的魔术绘画师	新字典	done
自由なる創造主	自由的创造主	新字典	done
【奈落】創造の魔術絵画師	【奈落】创造的魔术绘画师	新字典	done
操られているエルミナ	被操纵的艾尔米娜	新字典	done
幼妻の精霊使い	幼妻的精灵使	新字典	done
一途な恋の誓約者	专一恋情的誓约者	新字典	done
