name	translation	note	status
◆編成制限：心属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが黒咆タイプの攻撃を使用。<br>・ボスエネミーが遅滞付与、次元遮断付与、状態異常のターン延長スキルを使用。<br>・ゴワモコが遅滞付与スキルを使用。<br>・フラム・ラルヴァが攻撃バフ解除の必殺技を使用。物理ダメージを軽減。<br>・フラム・ラルヴァ<忘>が魔力バフ解除の必殺技を使用。魔法ダメージを軽減。ダウン時に忘却付与効果。<br>・マグナ・タピルスが幸運減少、睡眠付与、HP回復スキルを使用。通常攻撃時にエネミー単体の防御増加効果。	◆编成限制：仅心属性可出击<br>◆出现敌人的特征◆<br>・敌人使用黑咆Type的攻击。<br>・Boss敌人使用赋予迟滞、赋予次元遮断、延长状态异常回合的技能。<br>・戈瓦莫科使用赋予迟滞技能。<br>・弗拉姆・拉尔瓦使用攻击Buff解除的必杀技。减轻物理伤害值。<br>・弗拉姆・拉尔瓦<忘>使用魔力Buff解除的必杀技。减轻魔法伤害值。倒下时带有赋予忘却效果。<br>・巨大貘使用幸运减少、赋予睡眠、HP回复技能。通常攻击时带有敌人单体防御增加效果。	修复	done
◆編成制限：理属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが白閃、翠苑タイプの攻撃を使用。毒・猛毒による最大HP減少が無効、固定ダメージ化。<br>・ボスエネミーが罠〈トラバサミ〉と〈落とし穴〉を使用。罠発動時、追加で遠隔物理攻撃効果。<br>・ゴーレムが即死、バフ解除の必殺技を使用。魔法攻撃スキルを使用。魔法ダメージを無効化。<br>・ブラッドドラゴンが飛行付与の必殺技を使用。力溜め付与、HP回復スキルを使用。<br>・パインヘッドがバフ・デバフ解除スキルを使用。<br>・邪精霊ユーノが最大HPバフ解除スキルを使用。	◆编成限制：仅理属性可出击<br>◆出现敌人的特征◆<br>・敌人使用白闪、翠苑Type的攻击。由毒・猛毒造成的最大HP减少无效，变为固定伤害值。<br>・Boss敌人使用陷阱〈捕兽夹〉与〈落穴〉。陷阱发动时，附带追加远隔物理攻击效果。<br>・魔像使用即死、Buff解除的必杀技。使用魔法攻击技能。无效化魔法伤害值。<br>・血龙使用赋予飞行的必杀技。使用赋予蓄力、HP回复技能。<br>・松果头使用Buff・Debuff解除技能。<br>・邪精灵尤诺使用最大HP Buff解除技能。	修复	done
◆編成制限：芸属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが蒼史タイプの攻撃を使用。前衛後衛入れ替えを無効化。<br>・ボスエネミーがエネミー単体の回避率を増加させるスキルを使用。攻撃を回避時に確率で自身に力溜め付与。<br>・ベノスボアンが前衛に幻影を付与する必殺技を使用。<br>・カーディナルが飛行付与の必殺技を使用。<br>・ゴーレムが前衛のバフ解除の必殺技を使用。魔法ダメージと状態異常を無効化。<br>・メタシクロ祭祀書が呪い・弱体を付与するスキルを使用。スタン付与時に耐性が増加。	◆编成限制：仅芸属性可出击<br>◆出现敌人的特征◆<br>・敌人使用苍史Type的攻击。无效化前后卫交替。<br>・Boss敌人使用增加敌人单体回避率的技能。回避攻击时概率赋予自身蓄力。<br>・贝诺斯波安使用对前卫赋予幻影的必杀技。<br>・红衣主教使用赋予飞行的必杀技。<br>・魔像使用前卫Buff解除的必杀技。无效化魔法伤害值与状态异常。<br>・梅塔西克洛祭祀书使用赋予诅咒・弱体的技能。赋予眩晕时耐性增加。	修复	done
◆編成制限：心属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが紅華タイプの攻撃を使用。<br>・ボスエネミーが高威力の範囲魔法スキルを使用。<br>・騎士が即死率補正の高い必殺技・スキルを使用。物理ダメージを軽減、確率で仲間への物理攻撃を代わりに受ける。魅了付与時に耐性が増加。<br>・大精霊がバフ解除の必殺技を使用。<br>・ウニコールが防御無視の全体範囲の必殺技を使用。補助効果解除のスキルを使用。攻撃スキル使用時に自身のHPを回復。魅了付与時に耐性が増加。<br>・ユニコーンがバフ解除の必殺技を使用。防御減少、虚脱付与のスキルを使用。	◆编成限制：仅心属性可出击<br>◆出现敌人的特征◆<br>・敌人使用红华Type的攻击。<br>・Boss敌人使用高威力的范围魔法技能。<br>・骑士使用即死率补正高的必杀技・技能。减轻物理伤害值，概率代为承受对同伴的物理攻击。赋予魅惑时耐性增加。<br>・大精灵使用Buff解除的必杀技。<br>・尤尼科尔使用无视防御的全体范围必杀技。使用辅助效果解除的技能。使用攻击技能时回复自身HP。赋予魅惑时耐性增加。<br>・独角兽使用Buff解除的必杀技。使用防御减少、赋予虚脱的技能。	修复	done
◆編成制限：力属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが金紋・黒咆タイプの攻撃を使用。全エネミーが反撃無効のスキルを使用、必殺技ゲージ減少を無効化。<br>・ボスエネミーがHP回復の必殺技を使用。カバー（魔法）を付与するスキルを使用。確率で仲間への魔法攻撃を代わりに受ける。<br>・アバルティスが即死スキルを使用、確率で魔法ダメージを軽減。全パラメーターを減少させる必殺技を使用。<br>・スライムカイザーが魔壁付与、魔力バフ解除のスキルを使用。魔法ダメージと状態異常を無効化。<br>・ラメエルが確率で魔法ダメージを軽減。<br>・エラローヴがバフ解除の必殺技を使用。	◆编成限制：仅力属性可出击<br>◆出现敌人的特征◆<br>・敌人使用金纹・黑咆Type的攻击。所有敌人使用反击无效的技能，无效化必杀技量表减少。<br>・Boss敌人使用HP回复的必杀技。使用赋予援护(魔法)的技能。概率代为承受对同伴的魔法攻击。<br>・阿巴尔蒂斯使用即死技能，概率减轻魔法伤害值。使用减少全属性参数的必杀技。<br>・史莱姆凯撒使用赋予魔壁、魔力Buff解除的技能。无效化魔法伤害值与状态异常。<br>・拉梅尔概率减轻魔法伤害值。<br>・埃拉罗夫使用Buff解除的必杀技。	修复	done
◆出現エネミーの特徴◆<br>・弱点属性以外の属性に耐性を持つ <br>・ボスエネミーが高頻度でスキルを使用 <br>・エネミーが単体物理攻撃スキルを多用 <br>・ベベンジュウガの通常攻撃に防御減少効果。解のみ必殺技にバフ解除効果付与<br>・ギュムノートの通常攻撃に回避率と敏捷減少効果	◆出现敌人的特征◆<br>・对弱点属性以外的属性拥有耐性<br>・Boss敌人高频使用技能<br>・敌人频繁使用单体物理攻击技能<br>・贝文重牙的通常攻击带有防御减少效果。仅解的必杀技附带Buff解除效果<br>・裸背电鳗的通常攻击带有回避率与敏捷减少效果	修复	done
◆編成制限：理属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・弱点属性以外の属性に耐性を持つ 。<br>・エネミーが黒咆タイプの攻撃を使用。<br>・ボスエネミーが幸運減少効果を多用、弱体・虚脱付与スキルを使用。<br>・フラム・ラルヴァが幸運減少、刻印付与スキルを使用。物理ダメージを軽減。呪のみダウン時に呪い付与効果。<br>・アバルティスが即死スキルを使用。絶のみ全体にスタン付与スキルを使用。	◆编成限制：仅理属性可出击<br>◆出现敌人的特征◆<br>・对弱点属性以外的属性拥有耐性。<br>・敌人使用黑咆Type的攻击。<br>・Boss敌人频繁使用幸运减少效果，使用赋予弱体・虚脱技能。<br>・弗拉姆・拉尔瓦使用幸运减少、赋予刻印技能。减轻物理伤害值。仅咒在倒下时带有赋予诅咒效果。<br>・阿巴尔蒂斯使用即死技能。仅绝对全体使用赋予眩晕技能。	修复	done
◆編成制限：力属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが白閃タイプの攻撃を使用、くくり罠を無効化。<br>・ボスエネミーが防御無視、出血付与スキルを使用。防御減少効果の必殺技を使用。<br>・アバルティス・絶が即死スキルとスタン付与スキルを使用、確率で魔法ダメージを軽減。<br>・アバルティス・防が即死スキルを使用、物理ダメージを軽減。確率で物理攻撃を引き受ける。<br>・ベベンジュウガが敏捷減少、攻撃減少スキルを使用。<br>・エレメントが魔法ダメージ、状態異常を無効化。	◆编成限制：仅力属性可出击<br>◆出现敌人的特征◆<br>・敌人使用白闪Type的攻击，无效化套索陷阱。<br>・Boss敌人使用无视防御、赋予出血技能。使用防御减少效果的必杀技。<br>・阿巴尔蒂斯・绝使用即死技能与赋予眩晕技能，概率减轻魔法伤害值。<br>・阿巴尔蒂斯・防使用即死技能，减轻物理伤害值。概率代为承受物理攻击。<br>・贝文重牙使用敏捷减少、攻击减少技能。<br>・元素体无效化魔法伤害值、状态异常。	修复	done
◆編成制限：心属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが黒咆タイプの攻撃を使用。<br>・ボスエネミーが遅滞付与、次元遮断付与、状態異常のターン延長スキルを使用。<br>・ゴワモコが遅滞付与スキルを使用。<br>・フラム・ラルヴァが攻撃バフ解除の必殺技を使用。物理ダメージを軽減。<br>・フラム・ラルヴァ・忘が魔力バフ解除の必殺技を使用。魔法ダメージを軽減。ダウン時に忘却付与効果。<br>・マグナ・タピルスが幸運減少、睡眠付与、HP回復スキルを使用。通常攻撃時にエネミー単体の防御増加効果。	◆编成限制：仅心属性可出击<br>◆出现敌人的特征◆<br>・敌人使用黑咆Type的攻击。<br>・Boss敌人使用赋予迟滞、赋予次元遮断、延长状态异常回合的技能。<br>・戈瓦莫科使用赋予迟滞技能。<br>・弗拉姆・拉尔瓦使用攻击Buff解除的必杀技。减轻物理伤害值。<br>・弗拉姆・拉尔瓦・忘使用魔力Buff解除的必杀技。减轻魔法伤害值。倒下时带有赋予忘却效果。<br>・巨大貘使用幸运减少、赋予睡眠、HP回复技能。通常攻击时带有敌人单体防御增加效果。	修复	done
◆編成制限：理属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが金紋タイプの攻撃を使用。金紋タイプの攻撃以外のダメージ軽減。<br>・ボスエネミーがダメージ反転回復を付与する必殺技を使用。被ダメージ時に確率で自身の攻撃増加。<br>・エレメントがバフ解除の必殺技を使用、ウェーブ開始時に虚脱付与。虚脱を付与するスキルを使用。<br>・近衛騎士が物理ダメージを軽減、確率で仲間への物理攻撃を代わりに受ける。<br>・パインヘッドがバフ解除スキルを使用。<br>・ブラッドドラゴンがバフ解除の必殺技を使用。	◆编成限制：仅理属性可出击<br>◆出现敌人的特征◆<br>・敌人使用金纹Type的攻击。减轻金纹Type攻击以外的伤害值。<br>・Boss敌人使用赋予伤害值反转回复的必杀技。被给予伤害值时概率自身攻击增加。<br>・元素体使用Buff解除的必杀技，Wave开始时赋予虚脱。使用赋予虚脱的技能。<br>・近卫骑士减轻物理伤害值，概率代为承受对同伴的物理攻击。<br>・松果头使用Buff解除技能。<br>・血龙使用Buff解除的必杀技。	修复	done
◆編成制限：力属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが白閃タイプの攻撃を使用。白閃タイプの攻撃以外のダメージ軽減。<br>・ボスエネミーが火傷と出血付与の必殺技を使用。被ダメージ時に確率で魔壁付与。<br>・マグナ・タピルス・壁が魔壁付与のスキルを使用。<br>・カーディナルが飛行付与の必殺技を使用。HP減少時、自身の攻撃増加。<br>・フラム・ラルヴァ・虚が虚脱付与のスキルを使用。魔法ダメージを半減。<br>・術士が攻撃バフ解除の必殺技を使用。物理ダメージを軽減。	◆编成限制：仅力属性可出击<br>◆出现敌人的特征◆<br>・敌人使用白闪Type的攻击。减轻白闪Type攻击以外的伤害值。<br>・Boss敌人使用赋予火伤与出血的必杀技。被给予伤害值时概率赋予魔壁。<br>・巨大貘・壁使用赋予魔壁的技能。<br>・红衣主教使用赋予飞行的必杀技。HP减少时，自身攻击增加。<br>・弗拉姆・拉尔瓦・虚使用赋予虚脱的技能。魔法伤害值减半。<br>・术士使用攻击Buff解除的必杀技。减轻物理伤害值。	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが黒咆タイプの攻撃を使用。黒咆タイプの攻撃以外のダメージ軽減。<br>・ボスエネミーが守護神付与の必殺技を使用。バトル開始時に多数の補助効果を付与。デバフを受けると自身の補助効果を2つ解除。<br>・ゴワモコが通常攻撃時、エネミー単体の防御増加。<br>・フラム・ラルヴァ・虚が虚脱付与のスキルを使用。魔法ダメージを半減。<br>・プレデターがバトル開始時に多数の補助効果を付与。デバフを受けると自身の補助効果を2つ解除。<br>・ユニコーンがHP回復のスキルを使用。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用黑咆Type的攻击。减轻黑咆Type攻击以外的伤害值。<br>・Boss敌人使用赋予守护神的必杀技。战斗开始时赋予大量辅助效果。受到Debuff时解除自身2个辅助效果。<br>・戈瓦莫科通常攻击时，增加敌人单体防御。<br>・弗拉姆・拉尔瓦・虚使用赋予虚脱的技能。魔法伤害值减半。<br>・捕食者战斗开始时赋予大量辅助效果。受到Debuff时解除自身2个辅助效果。<br>・独角兽使用HP回复的技能。	修复	done
◆編成制限：理属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが翠苑タイプの攻撃を使用。翠苑タイプの攻撃以外のダメージ軽減。状態異常を付与されている場合は自身のパラメータを下げる、補助効果を解除するなどのデバフ効果を受ける。<br>・ボスエネミーがエネミー全体の状態異常を解除するスキルを使用。<br>・メタシクロ祭祀書が呪いを付与するスキルを使用。<br>・ベノスボアンがスタンを付与するスキルを使用。<br>・ブラッドドラゴンがエネミー全体の状態異常を解除する必殺技を使用。<br>・ゴワモコがエネミー後衛にベールを付与する必殺技を使用。<br>・エラローヴがバフ解除の必殺技を使用。	◆编成限制：仅理属性可出击<br>◆出现敌人的特征◆<br>・敌人使用翠苑Type的攻击。减轻翠苑Type攻击以外的伤害值。若被赋予状态异常，则会受到降低自身属性参数、解除辅助效果等Debuff效果。<br>・Boss敌人使用解除敌人全体状态异常的技能。<br>・梅塔西克洛祭祀书使用赋予诅咒的技能。<br>・贝诺斯波安使用赋予眩晕的技能。<br>・血龙使用解除敌人全体状态异常的必杀技。<br>・戈瓦莫科使用对敌人后卫赋予帷幕的必杀技。<br>・埃拉罗夫使用Buff解除的必杀技。	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが紅華タイプの攻撃を使用。紅華タイプの攻撃以外のダメージ軽減。<br>・ボスエネミーが一定ターン開始毎にバフ効果、補助効果を付与。<br>・騎士が物理ダメージを軽減、確率で仲間への物理攻撃を代わりに受ける。<br>・ギュムノートがバフ解除のスキルを使用。<br>・クラゲがエネミー全体のデバフ解除のスキルを使用。<br>・ゴーレムが魔法ダメージを軽減、確率で仲間への魔法攻撃を代わりに受ける。<br>・ラメエルが一定ターン開始毎にバフ効果、補助効果を付与。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用红华Type的攻击。减轻红华Type攻击以外的伤害值。<br>・Boss敌人每隔一定回合开始时赋予Buff效果、辅助效果。<br>・骑士减轻物理伤害值，概率代为承受对同伴的物理攻击。<br>・裸背电鳗使用Buff解除的技能。<br>・水母使用敌人全体Debuff解除的技能。<br>・魔像减轻魔法伤害值，概率代为承受对同伴的魔法攻击。<br>・拉梅尔每隔一定回合开始时赋予Buff效果、辅助效果。	修复	done
◆編成制限：心属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが蒼史タイプの攻撃を使用。蒼史タイプの攻撃以外のダメージ軽減。複数攻撃スキルを受けるとパラメータバフ、補助効果付与効果が発動。<br>・ボスエネミーが吸血スキルを使用。<br>・邪精霊ユーノが魔力減少スキルを使用。<br>・ガーネットが吸血スキルを使用。<br>・アバルティスが即死スキルを使用。<br>・べベンジュウガがバフ解除のスキルを使用。<br>・大精霊が刻印付与のスキルを使用。	◆编成限制：仅心属性可出击<br>◆出现敌人的特征◆<br>・敌人使用苍史Type的攻击。减轻苍史Type攻击以外的伤害值。受到复数攻击技能时，发动属性参数Buff、辅助效果赋予效果。<br>・Boss敌人使用吸血技能。<br>・邪精灵尤诺使用魔力减少技能。<br>・石榴石使用吸血技能。<br>・阿巴尔蒂斯使用即死技能。<br>・贝文重牙使用Buff解除的技能。<br>・大精灵使用赋予刻印的技能。	修复	done
◆出現エネミーの特徴◆<br>・弱点属性以外の属性に耐性を持つ<br>・パラメータ減少効果を持つスキルを使用するエネミーが多く出現<br>・ボスエネミーのHPが減少するたび攻撃減少効果が発動<br>・近衛騎士の通常攻撃に魔力減少効果<br>・ギュムノートの通常攻撃に敏捷と回避減少効果	◆出现敌人的特征◆<br>・对弱点属性以外的属性拥有耐性<br>・大量出现使用带有属性参数减少效果技能的敌人<br>・Boss敌人每当HP减少时发动攻击减少效果<br>・近卫骑士的通常攻击带有魔力减少效果<br>・裸背电鳗的通常攻击带有敏捷与回避减少效果	修复	done
◆出現エネミーの特徴◆ <br>・弱点属性以外の属性に耐性を持つ<br>・ボスエネミーがHP回復・全体魔法攻撃スキルを使用 <br>・ボスエネミーがウェーブ開始時にエネミー全体にベール付与 <br>・ユニコーンが前衛への物理攻撃スキルを多用	◆出现敌人的特征◆<br>・对弱点属性以外的属性拥有耐性<br>・Boss敌人使用HP回复・全体魔法攻击技能<br>・Boss敌人在Wave开始时赋予敌方全体帷幕<br>・独角兽频繁使用对前卫的物理攻击技能	修复	done
◆出現エネミーの特徴◆<br>・弱点属性以外の属性に耐性を持つ <br>・ボスエネミーが3ターン毎のターン開始時、自身にバリアー付与 <br>・ボスエネミーがアイリス/エネミー全体のバフ・デバフ解除スキルを使用 <br>・アバルティスが即死スキルとスタン付与スキルを使用<br>・ラメエルの通常攻撃に攻撃増加効果<br>・アバルティスの通常攻撃に弱体付与効果	◆出现敌人的特征◆<br>・对弱点属性以外的属性拥有耐性<br>・Boss敌人每隔3回合开始时，赋予自身屏障<br>・Boss敌人使用解除爱丽丝/敌人全体Buff・Debuff技能<br>・阿巴尔蒂斯使用即死技能与赋予眩晕技能<br>・拉梅尔的通常攻击带有攻击增加效果<br>・阿巴尔蒂斯的通常攻击带有赋予弱体效果	修复	done
◆編成制限：力属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが金紋タイプの攻撃を使用。金紋タイプの攻撃以外のダメージ軽減。<br>・エネミーはクリティカル威力が高い、状態異常やデバフ効果を使用。<br>・ターン開始時、エネミー側にフィールド効果が付与されているとエネミー全体の幸運を増加。<br>・ボスエネミーはデバフ効果と補助効果解除を使用。	◆编成限制：仅力属性可出击<br>◆出现敌人的特征◆<br>・敌人使用金纹Type的攻击。减轻金纹Type攻击以外的伤害值。<br>・敌人暴击威力高，使用状态异常或Debuff效果。<br>・回合开始时，若敌人侧被赋予场地效果，则敌人全体幸运增加。<br>・Boss敌人使用Debuff效果与辅助效果解除。	修复	done
◆編成制限：心属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが翠苑タイプの攻撃を使用。翠苑タイプの攻撃以外のダメージ軽減。<br>・エネミーは魔法ダメージ軽減無視の魔法攻撃を使用、自身より魔力が低い対象へのダメージが増加。<br>・ターン開始時、エネミー全体の魔力増加/叡智付与。<br>一定ターン経過するとエネミーの魔力が大幅に増加。<br>・ボスエネミーはHP回復、魔壁付与のスキルを使用。	◆编成限制：仅心属性可出击<br>◆出现敌人的特征◆<br>・敌人使用翠苑Type的攻击。减轻翠苑Type攻击以外的伤害值。<br>・敌人使用无视魔法伤害值减轻的魔法攻击，对魔力低于自身的目标伤害值增加。<br>・回合开始时，敌人全体魔力增加/赋予睿智。<br>经过一定回合后，敌人魔力大幅增加。<br>・Boss敌人使用HP回复、赋予魔壁的技能。	修复	done
◆編成制限：芸属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが黒咆タイプの攻撃を使用。黒咆タイプの攻撃以外のダメージ軽減。<br>・ラメエルは物理ダメージ軽減率、魔法ダメージ軽減率、ガード率のいずれか2つが高い。<br>・ラメエル・回生は倒すと一度だけエネミー全体を蘇生。<br>・ボスエネミーはターン開始時、エネミー全体に魔壁と重装を付与。	◆编成限制：仅芸属性可出击<br>◆出现敌人的特征◆<br>・敌人使用黑咆Type的攻击。减轻黑咆Type攻击以外的伤害值。<br>・拉梅尔的物理伤害值减轻率、魔法伤害值减轻率、Guard率中有两项较高。<br>・拉梅尔・回生被击倒时，仅一次复活敌人全体。<br>・Boss敌人回合开始时，赋予敌人全体魔壁与重装。	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが黒砲タイプの攻撃を使用。黒砲タイプの攻撃以外のダメージ軽減。<br>・前衛のエネミーは耐久力が高く、スライムが前衛にターゲット集中を使用。<br>・ターン開始時、エネミー全体に防御、魔力バフを使用。<br>・ボスエネミーは必殺技でアイリス全体の補助効果を解除、10ターン目以降の必殺技は超強力。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用黑咆Type的攻击。减轻黑咆Type攻击以外的伤害值。<br>・前卫的敌人耐久力高，史莱姆对前卫使用Target集中。<br>・回合开始时，对敌人全体使用防御、魔力Buff。<br>・Boss敌人以必杀技解除爱丽丝全体的辅助效果，10回合以后的必杀技超强力。	修复	done
◆編成制限：理属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが紅華タイプの攻撃を使用。紅華タイプの攻撃以外のダメージ軽減。<br>・バトル開始時にエネミー全体に強力なパラメータバフがかかる。<br>・エネミーが状態異常中は毎ターンエネミーにデバフが発動。<br>・エネミーは2ターンごとにデバフと状態異常を解除。<br>・ボスエネミーは繚乱や力溜めを付与するスキルを使用。	◆编成限制：仅理属性可出击<br>◆出现敌人的特征◆<br>・敌人使用红华Type的攻击。减轻红华Type攻击以外的伤害值。<br>・战斗开始时，敌人全体获得强力属性参数Buff。<br>・敌人处于状态异常期间，每回合对敌人发动Debuff。<br>・敌人每2回合解除Debuff与状态异常。<br>・Boss敌人使用赋予缭乱或蓄力的技能。	修复	done
